产品名,平台,2025时间点,时间口径,发售/状态,主品类,次级标签,核心玩法,核心玩法分析,抖音观察,微信观察,国内媒体/社区来源,资料来源,备注
源序空间,iOS / Android,2025-09-28,公测时间（TapTap动态转载）,已上线,塔防,二次元塔防 / 英雄塔防 / 科幻题材,以美少女角色和横版战场为核心的科幻塔防,重点不在纯建塔而在角色技能与塔防阵线结合; 适合研究二游包装如何改写塔防用户认知,二次元角色立绘和技能演出天然适合短视频切片; 首屏题材识别度高,若做轻社交活动和预约裂变有传播空间; 但核心仍偏中重度手游,TapTap 页面与 2025-09-28 的 TapTap 动态推荐,[TapTap](https://www.taptap.cn/app/720947) | [TapTap动态](https://www.taptap.cn/moment/721323431634668747),2025 年国内新塔防公测样本
冲冲奇兵,iOS / Android,2025-11-11,2025年TapTap社区活跃观察,预约/观察中,塔防,卡牌塔防 / 阵营搭配 / 轻策略,结合塔防和卡牌收集的策略产品,价值在于“卡牌阵容思维”对塔防用户门槛的重新包装; 适合研究轻策略塔防,卡牌抽取和阵营组合适合做短视频角色展示; 但需要实战片段才能讲清玩法,如果后续上线微信小游戏版本会有轻度扩散潜力; 当前更偏手游预约与社区传播,TapTap 页与 2025 年社区内容,[TapTap](https://www.taptap.cn/app/744572) | [TapTap塔防话题](https://www.taptap.cn/hashtag/%E5%A1%94%E9%98%B2%E6%B8%B8%E6%88%8F),先作为 2025 国内观察样本保留
正中靶心,iOS / Android / 抖音小游戏入口观察,2025-03-11,2025年抖音与TapTap活跃观察,已上线且持续活跃,塔防,肉鸽塔防 / 技能选择 / 轻操作,一波波怪攻城并通过技能选择形成流派,它的重要性在于把塔防压缩成更轻的操作负担和更强的随机成长反馈,肉鸽和技能组合天然适合做短视频高光; 已观察到抖音小游戏相关话题内容,在微信小游戏语境中也具备轻量化潜力; 但网页侧更容易拿到社区而非官方小程序页,TapTap 产品页 + 抖音相关视频索引,[TapTap](https://www.taptap.cn/app/343703) | [TapTap介绍页](https://www.taptap.cn/app/343703/all-info) | [抖音索引](https://www.douyin.com/shipin/7333573340089272370),更适合研究短视频传播与肉鸽塔防
塔防精灵,微信小游戏 / 手游,2025-04-29,2025年活动观察时间,已上线且持续运营,塔防,自走棋塔防 / 实时对战 / 合作玩法,自走棋与塔防结合并支持真人对战,它不是传统守AI波次而是更强调 PvP 对抗和阵容构筑,对战高光和阵容克制适合做短视频; 玩法理解成本高于传统轻塔防,已存在微信小游戏秒玩入口与 2025 年活动记录; 证明其在小游戏生态中有持续活跃度,TapTap 论坛与微信小游戏入口页,[TapTap论坛](https://www.taptap.cn/app/231817/topic) | [微信小游戏入口页](https://v2yx.com/game/12.html),适合研究塔防在小游戏里的 PvP 化
无尽塔防,微信小游戏,2025-04-25,微信小游戏列表收录时间,已上线/观察中,塔防,合成塔防 / 挂机塔防 / 轻量玩法,布置防线并合成升级炮塔的轻量塔防,典型的小游戏轻量结构; 适合研究“合成+挂机+塔防”的微信场景适配,首屏理解成本低且适合展示合成升级反馈,微信小游戏适配度高; 典型轻量塔防框架,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/130.htm),保留为微信轻量塔防样本
家园守卫塔防,微信小游戏,2025-11-14,微信小游戏列表收录时间,已上线/观察中,塔防,肉鸽塔防 / 合成塔防 / 微信小游戏,合成与肉鸽元素结合的微信小游戏塔防,适合研究 2025 年小游戏塔防如何通过“合成+任务”提升留存,合成和无尽任务结构适合短视频切片和买量素材,小游戏表达直接; 更适合微信轻度用户,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/8485.htm),2025 下半年微信新样本
机械纪元,微信小游戏,2025-04-25,微信小游戏列表收录时间,已上线/观察中,塔防,英雄塔防 / 肉鸽 / 割草混合,英雄塔防结合肉鸽和割草表达,它反映了小游戏塔防和幸存者玩法的混血趋势; 适合研究品类边界融合,割草和火力覆盖很适合短视频爽点表达,如果转微信买量会有较强首屏吸引力,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/1280.htm),作为混合玩法观察样本
塔防保卫,微信小游戏,2025-11-12,微信小游戏列表收录时间,已上线/观察中,塔防,合成塔防 / 轻量塔防,以合成防御塔为核心的轻量小游戏,代表最典型的微信轻塔防结构; 规则简单但扩展空间有限,合成反馈直接且适合买量首屏,微信小游戏天然适配,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/5487.htm),适合作为模板化产品样本
塔防合成高手,微信小游戏,2025-11-14,微信小游戏列表收录时间,已上线/观察中,塔防,合成塔防 / 轻量小游戏,合成防御塔并消灭敌人的轻量产品,本质上是微信小游戏中最标准的一类“合成塔防模板”,合成前后差异和数值跃升适合短视频,微信轻传播友好但中长期差异化弱,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/8072.htm),适合作为模板对照组
陷阱塔防大师,微信小游戏,2025-11-12,微信小游戏列表收录时间,已上线/观察中,塔防,陷阱塔防 / 轻策略,以“陷阱”而非纯炮塔为卖点的微信轻塔防,它说明小游戏也会尝试通过命名和主题差异做包装; 但底层仍是轻量波次防守,陷阱触发很适合短视频高光,微信轻用户容易理解,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/3806.htm),适合研究题材包装对点击率的帮助
