产品名,平台,发行日期,时间口径,开发商,发行商,发售状态,主品类,次级标签,核心玩法,核心玩法分析,核心循环,核心循环分析,社交属性,PVP/PVE属性,操作门槛,市场表现,评测口碑,参考价值,资料来源,备注
Orcs Must Die! Deathtrap,PC / Xbox Series X|S / PS5,2025-01-28,官方商店发售日,Robot Entertainment,Robot Entertainment,已上线,塔防,动作塔防 / Roguelite / 第三人称协作,第三人称战斗与陷阱布局结合守关,它不是纯站桩建塔而是把角色操作与陷阱联动放到同一决策层; 更适合研究动作塔防如何做强反馈和合作体验,布置陷阱 -> 开战手操 -> 清波次 -> 获取成长 -> 继续更高压关卡,循环驱动力来自每轮战斗后的成长与下一轮更高压敌潮; roguelite 结构强化了重复游玩的可持续性,多人协作,PVE,中高,头部关注样本,Steam总评“Mostly Positive”; OpenCritic 69 / 40% Critics Recommend; Metacritic 69,[Steam](https://store.steampowered.com/app/2273980/Orcs_Must_Die_Deathtrap/) | [OpenCritic](https://opencritic.com/game/17997/orcs-must-die-deathtrap) | [Metacritic](https://www.metacritic.com/game/orcs-must-die-deathtrap/),2025 年最值得跟踪的动作塔防样本之一
Defender's Quest 2: Mists of Ruin,PC / Nintendo Switch,2025-01-30,官方商店发售日,Level Up Labs,Armor Games Studios,已上线,塔防,RPG塔防 / 战术RPG / 叙事塔防,以角色编队与站位防守为核心的续作型塔防,RPG 养成与塔防路径控制绑定较深; 适合研究“老派线性塔防”如何和角色成长系统结合,招募角色 -> 布阵守波次 -> 战斗升级 -> 强化队伍 -> 推进剧情,循环依赖角色成长带来的长期投入感; 相比纯塔防更强调养成与关卡推进的耦合,单人,PVE,中,中腰部关注样本,Steam总评“Mixed”(233 reviews); Metacritic 收录少量媒体评论,[Steam](https://store.steampowered.com/app/252190/Defenders_Quest_2_Mists_of_Ruin/) | [Metacritic](https://www.metacritic.com/game/defenders-quest-2-mists-of-ruin/),适合做经典塔防续作研究
Gnomes,PC,2025-04-04,官方商店发售日,DYSTOPIAN,"DYSTOPIAN, Gamersky Games",已上线,塔防,回合制塔防 / Roguelike / 基地经营,回合制塔防结合农耕经营与程序化地形扩张,它把塔防压力拆到回合和经营层里; 不是高速波次对抗而是更偏“长期布局+逐步推进”的策略结构,建设村庄 -> 布防 -> 抵御袭击 -> 解锁升级 -> 向外扩张,循环的吸引力来自版图扩张与构筑演变; 每次推进都打开新的经营和防守空间,单人,PVE,中,2025年Steam高口碑样本,Steam总评“Overwhelmingly Positive”(1400+ reviews),[Steam](https://store.steampowered.com/app/3133060/Gnomes/) | [GamesRadar 报道](https://www.gamesradar.com/games/strategy/2-devs-spent-10-months-making-a-roguelike-tower-defense-game-and-its-soaked-up-over-usd360-000-on-steam-as-players-construct-impossibly-dense-labyrinths-for-the-gnome-gods/),2025 年最值得深挖的创新型塔防之一
TDS - Tower Defense Strategy,PC,2025-05-23,官方商店发售日,Blockage,Blockage Studios,已上线,塔防,RTS混合塔防 / 协作塔防 / 无固定路径,塔防与 RTS 混合且敌人会主动反击,它的重要性在于打破“固定路径+纯被动防守”框架; 很适合研究更开放的地形和敌我交互,采集建设 -> 布置防线 -> 应对反击 -> 扩张资源 -> 巩固阵地,循环靠资源扩张与敌方反制共同推动; 每轮防守都可能反过来改变基地布局需求,多人协作,混合,高,中腰部潜力样本,Steam用户评价信息可见且带长期更新潜力,[Steam](https://store.steampowered.com/app/2392280/TDS/),适合研究开放式塔防框架
Graphic Tower Defense,PC,2025-07-25,官方商店发售日,FatSheep Studio,FatSheep Studio,已上线,塔防,元素塔防 / 轻度协作 / 极简风格,以元素组合和轻量多人协作为核心的极简塔防,玩法价值在于把元素组合和低美术负担结合起来; 适合研究轻制作成本下如何做出足够可读的构筑深度,组合元素 -> 建塔守波次 -> 升级羁绊 -> 协作补位,循环依赖元素搭配和多人协作产生的局内变化; 反馈密度较高且适合短局重复游玩,多人协作,PVE,中,中腰部长尾样本,Steam总评“Very Positive”(50+ reviews),[Steam](https://store.steampowered.com/app/3650100/Graphic_Tower_Defense/),适合研究轻量多人塔防
The King of Tower Defense,PC,2025-08-15,官方商店发售日,Daruma The Factory Inc.,Daruma The Factory Inc.,已上线,塔防,高难经典塔防 / 像素风 / 中世纪奇幻,强调策略难度与传统守线框架的高难塔防,它更接近“纯塔防硬核题”而不是系统混搭; 适合研究高难导向产品的关卡压力设计,建塔布阵 -> 守波次 -> 调整策略 -> 复盘重开,循环主要由失败复盘和更优策略迭代驱动; 重开学习价值高于角色成长,单人,PVE,高,小众硬核样本,Steam页面显示暂无用户评论,[Steam](https://store.steampowered.com/app/3769970/The_King_of_Tower_Defense/),适合补纯塔防硬核分支
Defend the Castle,PC,2025-11-25,官方商店发售日,Linus Walter,"OkDog Productions, Linus Walter",已上线,塔防,塔防 Roguelike / 日程推进 / 像素风,按天推进的塔防 roguelike 生存结构,它把“波次”包装成按天生存压力; 适合研究塔防和 roguelike 元进程如何自然结合,迎战波次 -> 日结成长 -> 选择强化 -> 继续生存,循环靠每日结算和不确定事件驱动; 玩家对下一天的预期是核心留存点,单人,PVE,中,新发售观察样本,Steam总评“Mostly Positive”(20+ reviews),[Steam](https://store.steampowered.com/app/3887070/Defend_the_Castle/),适合跟踪 2025 年末新样本
Full Manual Tower Defense,PC,2025-03-21,官方商店发售日,Individual,Individual,已上线,塔防,第一人称塔防 / 手动建造 / 资源连接,强调亲手搭建和连接电力的第一人称塔防,玩法的独特点在于把常见自动化建塔过程改成高参与度的手动执行; 适合研究“沉浸感”是否能提升塔防新鲜度,采集/连接 -> 手动建塔 -> 守波次 -> 修正布局 -> 再扩建,循环建立在亲手施工后的即时验证上; 玩家会因自己搭错或搭成而获得更强责任感,单人 / 合作,PVE,中高,长尾实验样本,Steam总评“Mostly Positive”(10+ reviews),[Steam](https://store.steampowered.com/app/3224320/Full_Manual_Tower_Defense/),适合作为机制实验样本
Streamlands: Defense,PC,2025-03-17,官方商店发售日,NGD Studios,NGD Studios,已上线,塔防,低多边形塔防 / 战争题材 / 轻策略,以原创战争题材包装的低多边形塔防,价值不在系统大创新而在题材和美术方向; 可用于研究战争包装对塔防理解效率的帮助,建设防线 -> 守住攻势 -> 升级火力 -> 继续防守,循环较传统但包装更鲜明; 它的研究价值在于中低成本题材呈现,单人,PVE,中,长尾样本,Steam页面显示少量用户评论,[Steam](https://store.steampowered.com/app/3465180/Streamlands_Defense/),可作为题材包装参考
Pathless Maze TD,PC,2025-06-24,官方商店发售日,XINGWEIZHEN,XINGWEIZHEN,已上线,塔防,迷宫塔防 / 合成塔防 / 中文独立,通过摆塔改写最短路径的迷宫型塔防,它的核心价值是把“塔”同时变成火力点和路径障碍物; 适合研究迷宫塔防里路径控制与火力收益如何联动,建造防御塔 -> 改变路径 -> 合成高级塔 -> 处理特殊敌人,循环建立在路径优化后得到的即时收益上; 每次建塔都既是输出强化也是路线改写,单人,PVE,中,中文独立观察样本,Steam 暂无形成有效总评但有中文页面和明确玩法介绍,[Steam](https://store.steampowered.com/app/3636800/Pathless_Maze_TD/?l=schinese) | [机核词条](https://www.gcores.com/games/151014),适合补齐中文迷宫TD分支
ShapeHero Factory,PC,2025-09-17,官方商店正式发售日,Asobism.Co.,Ltd,Asobism.Co.,Ltd,已上线,塔防,工厂塔防 / 自动化 / 自走防守,通过建设工厂量产小英雄抵御波次,玩法把自动化生产线和塔防守波次合并; 比传统建塔更强调产线优化与单位产出效率,建设工厂 -> 生产单位 -> 抵御波次 -> 获取新设施 -> 优化产线,循环驱动力来自每轮战后获得的新设施与更高效的工厂布局; 属于强复玩型产线塔防,单人,PVE,中高,2025 年高口碑创新样本,Steam总评“Very Positive”(750+ reviews),[Steam](https://store.steampowered.com/app/2389040/ShapeHero_Factory/?l=schinese),2025 年很值得研究的自动化塔防
Dungeon Warfare 3,PC,2025-08-29,官方商店发售日,"Excidium Inc., Valsar",Excidium Inc.,已上线,塔防,陷阱塔防 / 地形改造 / 系列续作,以陷阱和地形塑造杀阵为核心的系列新作,它不是常规炮塔路线而是突出“地形塑造+陷阱协同”; 适合研究高完成度纯塔防如何用关卡和系统做长线深度,布置地形 -> 放置陷阱 -> 消灭波次 -> 获得经验强化 -> 解锁新组合,循环强调成功防守后的永久强化; 每次通关都在为更复杂的杀阵工具箱铺路,单人,PVE,高,2025年强势口碑样本,Steam总评“Mostly Positive”(600+ reviews),[Steam](https://store.steampowered.com/app/3419220/Dungeon_Warfare_3/),适合研究纯塔防深度设计
